"country","giniCoefficientByCountry_giniWB","giniCoefficientByCountry_giniCIA"
"India",34.2,35.7
"China",37.1,38.2
"United States",39.8,41.5
"Indonesia",37.9,37.9
"Pakistan",29.6,29.6
"Nigeria",35.1,35.1
"Brazil",52.9,48.9
"Bangladesh",31.8,32.4
"Russia",36,36
"Ethiopia",35,35
"Mexico",45.4,45.4
"Japan",32.9,32.9
"Egypt",31.9,31.5
"Philippines",40.7,42.3
"DR Congo",42.1,42.1
"Vietnam",36.8,35.7
"Iran",40.9,40.9
"Turkey",41.9,41.9
"Germany",31.7,31.7
"Thailand",35.1,35
"United Kingdom",32.6,35.1
"Tanzania",40.5,40.5
"France",30.7,32.4
"South Africa",63,63
"Italy",35.2,35.2
"Kenya",38.7,40.8
"Myanmar",30.7,30.7
"Colombia",51.5,54.2
"South Korea",31.4,31.4
"Sudan",34.2,34.2
"Uganda",42.7,42.7
"Spain",34.9,34.3
"Algeria",27.6,27.6
"Iraq",29.5,29.5
"Argentina",42,42.3
"Afghanistan",,29.4
"Yemen",36.7,36.7
"Canada",31.7,33.3
"Poland",28.8,30.2
"Morocco",39.5,39.5
"Angola",51.3,51.3
"Ukraine",25.6,25.6
"Uzbekistan",35.3,36.8
"Malaysia",41.2,41.1
"Mozambique",50.5,54
"Ghana",43.5,43.5
"Peru",40.2,43.8
"Saudi Arabia",,45.9
"Madagascar",42.6,42.6
"Ivory Coast",37.2,37.2
"Nepal",32.8,32.8
"Cameroon",46.6,46.6
"Venezuela",44.8,39
"Niger",37.3,37.3
"Australia",34.3,34.3
"Syria",37.5,
"Mali",36,36.1
"Burkina Faso",43,47.3
"Taiwan",,33.6
"Sri Lanka",37.7,39.3
"Malawi",38.5,38.5
"Zambia",55.9,57.1
"Kazakhstan",27.8,27.8
"Chad",37.5,37.6
"Chile",44.9,44.9
"Romania",34.6,34.8
"Somalia",,36.8
"Senegal",38.3,38.1
"Guatemala",48.3,48.3
"Netherlands",26,29.2
"Ecuador",45.5,47.3
"Cambodia",,37.9
"Zimbabwe",50.3,50.3
"Guinea",48.3,29.6
"Benin",37.9,37.8
"Rwanda",43.7,43.7
"Burundi",38.6,38.6
"Bolivia",40.9,43.6
"Tunisia",32.8,32.8
"South Sudan",44.1,44.1
"Haiti",41.1,41.1
"Belgium",26,27.2
"Jordan",33.7,33.7
"Dominican Republic",38.5,39.6
"Honduras",48.2,48.2
"Czech Republic",26.2,25.3
"Sweden",28.9,29.3
"Tajikistan",34,34
"Papua New Guinea",41.9,41.9
"Portugal",34.7,32.8
"Greece",33.6,33.1
"Hungary",29.7,30
"Togo",42.5,42.4
"Israel",38.6,38.6
"Austria",29.8,30.2
"Belarus",24.4,
"Switzerland",33.1,33.1
"Sierra Leone",35.7,35.7
"Laos",38.8,38.8
"Turkmenistan",40.8,40.8
"Hong Kong",,53.9
"Kyrgyzstan",29,29
"Paraguay",45.1,43.5
"Nicaragua",46.2,46.2
"Bulgaria",40.5,40.3
"Serbia",35,34.5
"El Salvador",38.8,38.8
"Republic of the Congo",,48.9
"Denmark",27.5,27.7
"Singapore",,45.9
"Lebanon",31.8,31.8
"Finland",27.1,27.7
"Liberia",35.3,35.3
"Norway",22.7,27.7
"Slovakia",23.2,
"Palestine",33.7,33.7
"Central African Republic",43,56.2
"Ireland",29.2,30.6
"New Zealand",,36.2
"Mauritania",32.6,32.6
"Costa Rica",47.2,49.3
"Panama",50.9,49.8
"Croatia",29.5,28.9
"Georgia",34.2,34.5
"Mongolia",32.7,32.7
"Uruguay",40.8,40.2
"Bosnia and Herzegovina",33,33
"Qatar",,41.1
"Moldova",25.7,26
"Namibia",59.1,59.1
"Armenia",27.9,25.2
"Lithuania",36,35.3
"Jamaica",45.5,35
"Albania",29.4,30.8
"Gambia",38.8,35.9
"Gabon",38,38
"Botswana",53.3,53.3
"Lesotho",44.9,44.9
"Guinea-Bissau",34.8,34.8
"Slovenia",24,23.2
"Latvia",35.7,34.5
"North Macedonia",33.5,33
"Trinidad and Tobago",40.3,
"Timor-Leste",28.7,28.7
"Estonia",30.7,30.8
"Cyprus",31.7,31.2
"Mauritius",36.8,36.8
"Eswatini",54.6,54.6
"Djibouti",41.6,41.6
"Fiji",30.7,30.7
"Comoros",45.3,45.3
"Guyana",45.1,44.6
"Solomon Islands",37.1,37.1
"Bhutan",28.5,37.4
"Macau",,35
"Montenegro",36.8,36.8
"Suriname",57.9,
"Malta",31.4,31
"Maldives",29.3,29.3
"Cape Verde",42.4,42.4
"Belize",53.3,
"Iceland",26.1,26.1
"Vanuatu",32.3,32.3
"Sao Tome and Principe",40.7,40.7
"Samoa",38.7,38.7
"Saint Lucia",51.2,51.2
"Kiribati",27.8,27.8
"Seychelles",32.1,32.1
"Micronesia",40.1,40.1
"Tonga",33.5,37.6
"Jersey",,0.3
"Greenland",,33.9
"Faroe Islands",,22.7
"Marshall Islands",35.5,35.5
"Nauru",32.4,34.8
"Tuvalu",39.1,39.1
"Falkland Islands",,36
